pres,hght,temp,dwpt,relh,mixr,vapor_density,u,cr_nc_rot,cr_nc_cont,cr_nc_vib,cr_nc_all
1021.0,9,293.54999999999995,290.15,81,0.01208,0.014293116807200306,2.5536467746092137,,,,
1009.0,111,295.34999999999997,291.45,79,0.01329,0.015420249034575983,2.402108608816155,,,,
1000.0,189,295.34999999999997,290.95,76,0.01299,0.014942855150639684,2.283692502493814,-5.196753271171036,-2.0331448110997026,-0.4519483406637982,-7.681846422934518
929.0,827,291.15,289.95,93,0.01312,0.014229208957945706,1.3531036574299407,-2.543487035841746,-0.1567200711859345,-0.2311365560115039,-2.9313436630391854
925.0,864,291.15,289.45,90,0.01276,0.013783672377974213,1.3012798269584884,-1.8042674843439255,-0.006065092585988845,-0.19146519731114564,-2.0017977742410986
885.0,1243,289.54999999999995,286.84999999999997,84,0.01125,0.011723303874282975,0.8179226269782149,-1.898759781810106,0.05812487606802402,-0.20851712685049956,-2.0491520325925863
866.0,1428,290.54999999999995,279.54999999999995,48,0.00701,0.00716676808367401,0.6431894613671127,-1.779214547146077,-0.3874487113869549,-0.2546776710362957,-2.42134092956932
850.0,1587,289.15,280.15,55,0.00744,0.007504661294172519,0.5265515978132327,-2.5119639474563886,-0.4126632989675835,-0.3709302967761119,-3.295557543200064
848.0,1607,289.04999999999995,279.95,55,0.00734,0.007404927980152048,0.5116420085389081,-2.3748932970132444,-0.15705219409383236,-0.32307730111410066,-2.855022792221221
830.0,1789,287.75,277.75,51,0.00645,0.006386735818192934,0.3861378679739687,-2.4160089814687566,-0.033239139710380755,-0.3163215099456224,-2.7655696311247704
812.0,1974,288.34999999999997,263.34999999999997,17,0.0022500000000000003,0.002189223321204193,0.30681024593454526,-1.2917512103355546,-0.6433434660394869,-0.20894201969258147,-2.1440366960676216
766.0,2464,285.34999999999997,248.34999999999997,6,0.00067,0.0006257839015710447,0.23784256897655195,-0.5642090939365104,-0.7501014679520788,-0.09289083324578001,-1.4072013951343658
704.0,3165,282.34999999999997,247.34999999999997,6,0.00067,0.0005777858686451836,0.19565744853047318,-0.6892430900586768,-0.4206250149493229,-0.11281853836190506,-1.222686643369907
700.0,3212,282.15,247.14999999999998,6,0.00066,0.000567782280005433,0.19296536338114423,-0.8538534994645539,-0.36045323143372887,-0.16957178808110934,-1.383878518979418
687.0,3366,280.84999999999997,247.84999999999997,8,0.0007199999999999999,0.0006077836667070472,0.18391350559145814,-0.6876915935883878,-0.2892721934339763,-0.1073598918722779,-1.0843236788946549
662.0,3670,278.34999999999997,249.34999999999997,10,0.00085,0.000701618950050715,0.16401058581674016,-0.6083029483506064,-0.31871116096981783,-0.05423675884453018,-0.9812508681649481
626.0,4125,277.34999999999997,239.34999999999997,4,0.00035,0.0002767391078747021,0.1417529399989369,-0.4183535516560537,-0.4804345501984125,-0.0666544644114638,-0.9654425662659306
620.0,4202,276.75,239.04999999999998,4,0.00035,0.00026930520664029164,0.1396506693880542,-0.613329040190854,-0.24583781109905584,-0.12480165459484409,-0.9839685058847789
579.0,4748,272.84999999999997,236.74999999999997,5,0.00029,0.00021742250209921276,0.12636300293946573,-0.3352878446326225,-0.15870516222196268,-0.04684581190186424,-0.540838818756444
537.0,5349,268.45,234.24999999999997,5,0.00025,0.00017144158742076786,0.1146776370493903,-0.07461384419838142,-0.11393787747549997,0.019452054091262338,-0.16909966758261885
531.0,5439,267.84999999999997,233.84999999999997,5,0.00024,0.0001648912471546954,0.11316413929380072,0.25856325338218933,-0.06188255940231148,0.0939192859019265,0.29059997988179215
526.0,5513,268.04999999999995,230.54999999999998,3,0.00017,0.00011656278243898776,0.1121227593843041,0.2638065747878375,-0.0701815231917561,0.07947053363334344,0.2730955852294066
521.0,5588,268.25,227.24999999999997,2,0.00012,8.145201954077451e-05,0.11138020387687997,0.032016132172522735,-0.04947283753154926,0.02541638901220554,0.00795968365320955
500.0,5910,266.84999999999997,248.84999999999997,23,0.00108,0.0006998815539522912,0.09880073334364162,-0.14774717828433237,-0.024780278195865306,0.11000325518031714,-0.062524201299889
480.0,6228,264.34999999999997,247.14999999999998,24,0.0009699999999999999,0.0006060138842577376,0.07803699587610217,-0.480079352173411,-0.23469945050123656,0.016653929404288313,-0.6981248732703556
476.0,6293,263.84999999999997,246.84999999999997,24,0.00094,0.000590797036466582,0.07414736038374813,-0.6152930298756882,-0.23873002656534797,-0.017455876913574416,-0.8714789333546338
455.0,6635,260.95,245.14999999999998,25,0.00084,0.0005109408623134626,0.055307642314609363,-0.6587468288891987,-0.24539615279154636,-0.021813345136402908,-0.9259563268171476
441.0,6872,258.95,243.95,27,0.0007800000000000001,0.00046042328927322414,0.04379697711830712,-0.7558774853411259,-0.2197137962820817,-0.034191579298513325,-1.009782860921725
411.0,7407,254.45,241.24999999999997,30,0.00064,0.0003626678241155259,0.02177928983515806,-1.1637699693408954,-0.20444467970406308,-0.08244851398649623,-1.4506631630314524
407.0,7481,253.84999999999997,240.84999999999997,31,0.00063,0.0003497914225911057,0.01914319062234352,-2.0744659887635404,-0.17754482806958655,-0.20513554918813887,-2.4571463660212567
400.0,7610,252.64999999999998,237.64999999999998,25,0.00047,0.0002568916346473355,0.015230084903155578,-1.7236765997383516,-0.17112681253821405,-0.16456822035338173,-2.0593716326299383
390.0,7796,251.14999999999998,234.24999999999997,20,0.00034,0.00018325102187181021,0.01113675819752752,-1.6615874315113277,-0.11993846504525862,-0.15789999307484212,-1.9394258896314445
379.0,8006,249.45,230.45,16,0.00023,0.00012392534245741455,0.00791140637207066,-1.591225310749056,-0.07152560668236252,-0.1489963699790821,-1.8117472874104963
375.0,8083,250.24999999999997,224.24999999999997,7,0.00012,6.241414376417529e-05,0.007193999350117539,-1.3626537262154967,-0.061920914528676,-0.141345291795144,-1.5659199325393112
361.0,8361,249.24999999999997,215.24999999999997,3,4e-05,2.1448223194111073e-05,0.006028312449397358,-0.7103187801011362,-0.02592455598661196,-0.07300372583063452,-0.809247061918386
350.0,8583,247.34999999999997,214.64999999999998,3,4e-05,2.004756828110684e-05,0.00556770916402244,-0.7127029117707274,-0.008954781907673516,-0.06801100113814317,-0.7896686948165446
321.0,9204,242.04999999999998,213.04999999999998,4,4e-05,1.6724367169660145e-05,0.0044259405682761255,-0.5063069839043784,-0.0001816213625721349,-0.03251753838945386,-0.5390061436564018
303.0,9610,239.45,211.34999999999997,4,3e-05,1.3574169080888377e-05,0.0038108802823899907,-0.28437420315628464,0.007308989730421618,-0.005171193763247695,-0.2822364071891122
300.0,9680,239.04999999999998,211.04999999999998,4,3e-05,1.3074693572059316e-05,0.0037176092631046732,-0.25881914883691437,0.008699272904904872,-0.0008179232014488293,-0.25093779913346004
287.0,9989,236.84999999999997,208.84999999999997,4,2e-05,9.862404012732655e-06,0.003363231105419638,-0.06325711837561478,0.008081840949322888,0.006748565129781424,-0.048426712296520236
281.0,10136,237.24999999999997,208.24999999999997,3,2e-05,9.08278494485498e-06,0.0032239839665813685,-0.07150015377275808,0.010189440294469412,0.006422457692055265,-0.05488825578621202
256.0,10777,232.34999999999997,212.04999999999998,9,4e-05,1.5319788922957476e-05,0.002441881474117979,-0.26796087224647225,0.009413698767539573,0.014487823363152515,-0.2440593501157855
250.0,10940,231.04999999999998,213.04999999999998,12,5e-05,1.752059326300038e-05,0.0021742323593024224,-0.16419664292065786,0.026904574772100537,0.035332427786274836,-0.10195964036225919
239.0,11242,228.45,211.45,13,4e-05,1.4414305953989585e-05,0.0016920153811258742,-0.12318700838914631,0.03320334873453333,0.031684295853078,-0.058299363801508935
235.0,11353,227.64999999999998,210.64999999999998,13,4e-05,1.3028301675461512e-05,0.00153970890878242,-0.16093648027514912,0.034835140645945395,0.03232940203873952,-0.09377193759058156
229.0,11523,226.45,209.45,13,3e-05,1.1175860704586463e-05,0.0013339735285520125,-0.09758370131642355,0.028417960675476257,0.02532702990003708,-0.04383871074086189
215.0,11937,223.45,206.45,12,2e-05,7.546151445110145e-06,0.0009464278770532927,-0.06562626653715997,0.026167203025322362,0.01991110525726743,-0.019547958254587824
202.0,12346,220.45,203.45,11,2e-05,5.025281563161533e-06,0.0006893420720341369,0.032926592364187705,0.030185069649151755,0.0262608502935813,0.08937251230692117
200.0,12410,220.84999999999997,201.84999999999997,8,1e-05,3.985429007452669e-06,0.0006605077982081716,0.009281902545533616,0.015240463859297462,0.013225374125946075,0.037747740530836696
