pres,hght,temp,dwpt,relh,mixr,vapor_density,u,cr_nc_rot,cr_nc_cont,cr_nc_vib,cr_nc_all
1021.0,9,293.54999999999995,290.15,81,12.08,0.014361941562567367,0.0,-0.5280498569115634,-0.04714038198557925,-0.1462115554624061,-0.7214017943595679
1009.0,111,295.34999999999997,291.45,79,13.29,0.015490126221098676,0.15224554569669685,-1.1130248919566508,-0.7016256460623621,-0.3167040918996268,-2.1313546299186417
1000.0,189,295.34999999999997,290.95,76,12.99,0.015012512064605403,0.27120583501094275,-0.8026310388972695,-0.09778006609996895,-0.20701231193554154,-1.107423416932778
929.0,827,291.15,289.95,93,13.12,0.014286296335762382,1.2058378229826752,-1.0314894309172595,-0.07875747533528933,-0.2370056913762742,-1.3472525976287977
925.0,864,291.15,289.45,90,12.76,0.013842354115785695,1.2578758263180392,-1.3611606778595928,-0.035094079862673225,-0.28812436761734206,-1.6843791253396043
885.0,1243,289.54999999999995,286.84999999999997,84,11.25,0.01176884797760879,1.7432081059878646,-2.511530676951332,-0.7941553505261665,-0.5002015020467361,-3.8058875295242625
866.0,1428,290.54999999999995,279.54999999999995,48,7.01,0.007199244321387046,1.918662959753576,-2.316398280847859,-0.9718457597572459,-0.42885280175680407,-3.717096842361914
850.0,1587,289.15,280.15,55,7.44,0.007530774969377081,2.035766613115151,-2.5709154233009937,-1.0213872041963699,-0.43305543358926246,-4.0253580610865365
848.0,1607,289.04999999999995,279.95,55,7.34,0.0074156371496299405,2.050713025234158,-3.1489596221039076,-1.3581448436707375,-0.4838381385574447,-4.990942604332096
830.0,1789,287.75,277.75,51,6.45,0.006416229687849971,2.176583013455225,-5.130432877928655,-2.5398681443879902,-0.7876557432276863,-8.457956765544328
812.0,1974,288.34999999999997,263.34999999999997,17,2.25,0.002199762227055161,2.2562809386680978,-2.665812549407498,-1.2847222383381067,-0.40371389391602863,-4.3542486816616295
766.0,2464,285.34999999999997,248.34999999999997,6,0.67,0.0006260028616468284,2.325512183341296,-0.9722841587026274,-0.4075616281838104,-0.14417986279514938,-1.52402564968159
704.0,3165,282.34999999999997,247.34999999999997,6,0.67,0.0005814509380168446,2.367833439019508,-1.290806352669943,-0.4159698709765477,-0.2094914854721512,-1.9162677091185967
700.0,3212,282.15,247.14999999999998,6,0.66,0.0005699294399087551,2.370539182907633,-0.9980580190301824,-0.39711365477241817,-0.14089530726373906,-1.536066981066353
687.0,3366,280.84999999999997,247.84999999999997,8,0.72,0.0006129635224936269,2.3796474587181318,-0.9040536259035599,-0.40154550681196244,-0.09612065864214156,-1.4017197913576622
662.0,3670,278.34999999999997,249.34999999999997,10,0.85,0.0007034157908491336,2.3996564242809417,-1.6820269428350318,-0.5178230508880175,-0.22671224138461993,-2.426562235107669
626.0,4125,277.34999999999997,239.34999999999997,4,0.35,0.0002750974080363848,2.421917599555587,-1.035750125556625,-0.23547711668583615,-0.15988867159973724,-1.4311159138422136
620.0,4202,276.75,239.04999999999998,4,0.35,0.00027305441780838013,2.4240279840850896,-0.719484326988627,-0.19840965363998475,-0.08671111414719841,-1.0046050947758045
579.0,4748,272.84999999999997,236.74999999999997,5,0.29,0.00021432128422000445,2.4373333407504645,-0.3074404622446808,-0.1030767053243084,0.0005011305866470445,-0.41001603698234174
537.0,5349,268.45,234.24999999999997,5,0.25,0.00017417955626490756,2.449007791007036,0.16193028912556445,-0.05461370305213921,0.07201554418388398,0.17933213025728673
531.0,5439,267.84999999999997,233.84999999999997,5,0.24,0.00016571639517525788,2.4505373227885165,0.2425840150627816,-0.052904439911206164,0.07922952112566017,0.26890909627726656
526.0,5513,268.04999999999995,230.54999999999998,3,0.17,0.00011620314610142229,2.4515804250912403,-0.07445565124127937,-0.042953109287967646,0.022636386508404598,-0.09477237402087235
521.0,5588,268.25,227.24999999999997,2,0.12,8.119200748762092e-05,2.4523206569171996,-0.11753207264476669,-0.03709500964773235,0.003406026356872073,-0.15122105593562624
500.0,5910,266.84999999999997,248.84999999999997,23,1.08,0.0007038747105679872,2.4649602310778946,-1.6931573094325902,-0.47295730363772465,-0.06081692410948801,-2.2269315371798033
480.0,6228,264.34999999999997,247.14999999999998,24,0.97,0.0006127485901165078,2.485894541558778,-1.9567655208190136,-0.5356842027718255,-0.10054236352923171,-2.592992087120088
476.0,6293,263.84999999999997,246.84999999999997,24,0.94,0.0005899822570655842,2.4898034168121193,-2.1148061101344453,-0.6246397383049953,-0.11255302695372822,-2.851998875393164
